epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
45,20221.1,1.59206,1.1743,0.94504,1.00001,0.3911,0.31835,0.27736,0.15407,1.485,1.09035,0.92761,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.00896631,0.00298877,0.0358652,0.0119551
46,20638.6,1.59458,1.1775,0.94403,1.00001,0.38531,0.3099,0.27145,0.15054,1.48706,1.09643,0.9281,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.00873653,0.00291218,0.0349461,0.0116487
47,21065.4,1.57258,1.16101,0.94294,1,0.39454,0.31079,0.2782,0.15571,1.48105,1.08542,0.92598,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0085056,0.0028352,0.0340224,0.0113408
48,21482.9,1.57042,1.15976,0.93865,1.00002,0.39243,0.31278,0.27948,0.15641,1.47582,1.08074,0.92467,0,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.00827375,0.00275792,0.033095,0.0110317
49,21908.4,1.57862,1.15781,0.94007,1.00001,0.40701,0.3139,0.28132,0.15728,1.47312,1.07709,0.92494,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.00804122,0.00268041,0.0321649,0.0107216
50,22327.2,1.56837,1.14749,0.93844,0.99998,0.40121,0.31623,0.28433,0.15871,1.46911,1.07534,0.92257,0,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.00780822,0.00260274,0.0312329,0.010411
51,22752.7,1.57078,1.14933,0.93448,1.00005,0.40014,0.31749,0.28492,0.15866,1.46899,1.0725,0.92355,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
52,23168.7,1.56984,1.14939,0.9382,0.99996,0.41593,0.31326,0.28383,0.15877,1.4688,1.07237,0.92258,0,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.00734178,0.00244726,0.0293671,0.00978903
53,23592.5,1.5636,1.14315,0.9357,0.99999,0.40264,0.31676,0.28648,0.16099,1.46496,1.06693,0.92091,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.00710878,0.00236959,0.0284351,0.00947837
54,24008.6,1.5706,1.14345,0.93724,1.00001,0.4039,0.31945,0.28718,0.16251,1.46159,1.06493,0.9201,0,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.00687625,0.00229208,0.027505,0.00916833
55,24432.1,1.55492,1.13692,0.93608,1,0.39918,0.32557,0.29089,0.16245,1.46318,1.06444,0.92272,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0066444,0.0022148,0.0265776,0.0088592
56,24853,1.54871,1.12315,0.93278,0.99999,0.40858,0.31709,0.28714,0.1618,1.45828,1.062,0.92032,0,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.00641347,0.00213782,0.0256539,0.0085513
57,25272.8,1.5447,1.1223,0.9347,1.00002,0.41082,0.32108,0.29188,0.16383,1.45477,1.06088,0.91927,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.00618369,0.00206123,0.0247348,0.00824492
58,25691,1.54795,1.12476,0.93246,0.99999,0.41344,0.32123,0.28993,0.16383,1.45468,1.05733,0.92013,0,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.00595529,0.0019851,0.0238211,0.00794038
59,26117.3,1.53814,1.1132,0.93152,1.00002,0.42231,0.31723,0.29126,0.16371,1.45587,1.05339,0.91904,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.00572848,0.00190949,0.0229139,0.00763797
60,26536.8,1.54192,1.11638,0.93116,0.99997,0.40298,0.32396,0.29357,0.16461,1.45593,1.05222,0.91979,0,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.00550349,0.0018345,0.022014,0.00733799
61,26959.8,1.53474,1.10933,0.92977,0.99999,0.41626,0.32488,0.29432,0.16573,1.44656,1.0503,0.91721,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.00528055,0.00176018,0.0211222,0.00704073
62,27376.4,1.54234,1.11567,0.92962,0.99998,0.40913,0.3248,0.29566,0.16616,1.44925,1.05015,0.91757,0,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.00505987,0.00168662,0.0202395,0.00674649
63,27800.2,1.54337,1.11094,0.93118,1.00002,0.41037,0.32939,0.29647,0.16696,1.4468,1.04974,0.91666,0,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00484168,0.00161389,0.0193667,0.00645557
64,28221,1.53345,1.10598,0.92633,1,0.42668,0.32345,0.29829,0.16786,1.44573,1.04877,0.91717,0,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00462618,0.00154206,0.0185047,0.00616824
65,28641.2,1.52768,1.10249,0.928,1.00003,0.41474,0.32704,0.29606,0.16696,1.44451,1.04721,0.9158,0,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00441359,0.0014712,0.0176544,0.00588479
66,29065.5,1.53316,1.10509,0.92493,0.99998,0.42024,0.32493,0.2979,0.16798,1.44511,1.04488,0.91587,0,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00420412,0.00140137,0.0168165,0.00560549
67,29491.8,1.52401,1.09505,0.92623,1.00002,0.41317,0.32722,0.29838,0.16838,1.44088,1.04216,0.91487,0,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00399798,0.00133266,0.0159919,0.00533064
68,29915.4,1.52042,1.09226,0.9272,0.99998,0.4133,0.33169,0.30034,0.16929,1.43847,1.03887,0.91446,0,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00379537,0.00126512,0.0151815,0.00506049
69,30332.8,1.51742,1.09311,0.92578,0.99999,0.42427,0.32759,0.3012,0.16947,1.43767,1.03867,0.91396,0,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00359649,0.00119883,0.0143859,0.00479531
70,30733.2,1.52002,1.08593,0.92516,1,0.41731,0.33196,0.30375,0.171,1.43922,1.03899,0.91458,0,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00340153,0.00113384,0.0136061,0.00453537
71,31124.9,1.52419,1.09192,0.92406,1,0.41964,0.33292,0.30275,0.17059,1.44063,1.03663,0.91507,0,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00321069,0.00107023,0.0128428,0.00428093
72,31501.2,1.5122,1.08146,0.92124,1.00001,0.42484,0.3292,0.3036,0.17174,1.43696,1.03461,0.91353,0,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00302417,0.00100806,0.0120967,0.00403222
73,31871.8,1.50951,1.07797,0.92194,1.00001,0.41853,0.33313,0.30473,0.17262,1.43226,1.03304,0.9132,0,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00284213,0.000947376,0.0113685,0.0037895
74,32252.8,1.50616,1.07921,0.92179,1,0.41271,0.34075,0.30483,0.17215,1.43506,1.03286,0.91358,0,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00266476,0.000888253,0.010659,0.00355301
75,32649.6,1.49532,1.06776,0.92207,0.99999,0.42582,0.33025,0.30379,0.17171,1.43453,1.0328,0.91363,0,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00249224,0.000830746,0.00996895,0.00332298
