epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
75,107982,1.45558,1.1068,0.98419,0.01542,0.37918,0.30316,0.29105,0.16519,1.38971,1.04119,0.95675,0,0.002674,0.002674,0.002674,0.001337
76,108720,1.46746,1.10839,0.98435,0.01362,0.38235,0.30656,0.29039,0.1657,1.38756,1.03906,0.95516,0,0.002575,0.002575,0.002575,0.0012875
77,109466,1.46013,1.10385,0.98242,0.01171,0.37666,0.3088,0.29231,0.16619,1.38739,1.03863,0.95467,0,0.002476,0.002476,0.002476,0.001238
78,110206,1.45719,1.09873,0.98398,0.0098,0.37796,0.30834,0.2913,0.16613,1.38618,1.03808,0.95454,0,0.002377,0.002377,0.002377,0.0011885
79,110950,1.45203,1.10468,0.98168,0.00797,0.38415,0.30707,0.29346,0.16749,1.38299,1.03465,0.95427,0,0.002278,0.002278,0.002278,0.001139
80,111691,1.45598,1.09874,0.98017,0.0063,0.38644,0.30138,0.29121,0.16605,1.3831,1.03603,0.95436,0,0.002179,0.002179,0.002179,0.0010895
81,112440,1.4519,1.09646,0.97907,0.00483,0.38191,0.30716,0.29242,0.16757,1.3834,1.03345,0.95348,0,0.00208,0.00208,0.00208,0.00104
82,113205,1.44781,1.08993,0.97672,0.00359,0.3834,0.30797,0.29308,0.16761,1.38175,1.03246,0.95327,0,0.001981,0.001981,0.001981,0.0009905
83,113948,1.45011,1.08929,0.97662,0.00258,0.38786,0.30789,0.29575,0.1688,1.38186,1.03126,0.95369,0,0.001882,0.001882,0.001882,0.000941
84,114700,1.43614,1.07855,0.97681,0.0018,0.37601,0.31412,0.29638,0.16895,1.38031,1.02821,0.95299,0,0.001783,0.001783,0.001783,0.0008915
85,115453,1.43846,1.07743,0.97736,0.00121,0.37548,0.31458,0.2956,0.16924,1.37968,1.02748,0.95272,0,0.001684,0.001684,0.001684,0.000842
86,116214,1.44338,1.08377,0.97651,0.00079,0.37793,0.31104,0.29512,0.16867,1.37885,1.02522,0.95245,0,0.001585,0.001585,0.001585,0.0007925
87,117685,1.43461,1.07804,0.97737,0.00049,0.37721,0.31015,0.29521,0.1686,1.37816,1.02479,0.9522,0,0.001486,0.001486,0.001486,0.000743
88,118588,1.43859,1.07514,0.97311,0.0003,0.37831,0.31368,0.29639,0.16943,1.37614,1.0238,0.95125,0,0.001387,0.001387,0.001387,0.0006935
89,119779,1.43673,1.06955,0.97474,0.00017,0.38766,0.30976,0.29656,0.16957,1.37546,1.02337,0.95092,0,0.001288,0.001288,0.001288,0.000644
90,120588,1.43284,1.07063,0.97653,0.0001,0.38585,0.30925,0.29683,0.1694,1.37696,1.02346,0.95156,0,0.001189,0.001189,0.001189,0.0005945
91,123370,1.40166,1.04315,0.97942,5e-05,0.38407,0.3106,0.29527,0.16799,1.37745,1.02426,0.95176,0,0.00109,0.00109,0.00109,0.000545
92,124119,1.39308,1.0312,0.97849,3e-05,0.38976,0.31092,0.29555,0.16761,1.37869,1.02549,0.95199,0,0.000991,0.000991,0.000991,0.0004955
93,124758,1.38837,1.02728,0.97575,1e-05,0.38735,0.3101,0.29497,0.1676,1.37978,1.02587,0.95236,0,0.000892,0.000892,0.000892,0.000446
94,125398,1.38844,1.02201,0.97261,1e-05,0.38656,0.31194,0.29538,0.16798,1.37897,1.02504,0.95226,0,0.000793,0.000793,0.000793,0.0003965
95,128787,1.38139,1.01567,0.9727,0,0.38399,0.31366,0.2957,0.168,1.37821,1.02413,0.95165,0,0.000694,0.000694,0.000694,0.000347
96,129505,1.38307,1.0184,0.9723,0,0.38438,0.31416,0.29566,0.16823,1.3778,1.02282,0.95149,0,0.000595,0.000595,0.000595,0.0002975
97,132238,1.37631,1.01288,0.97208,0,0.39012,0.31133,0.29593,0.16868,1.37764,1.02233,0.95153,0,0.000496,0.000496,0.000496,0.000248
98,132958,1.37546,1.00802,0.9703,0,0.38989,0.3114,0.29549,0.16817,1.37718,1.02173,0.95121,0,0.000397,0.000397,0.000397,0.0001985
99,133667,1.37368,1.00466,0.96951,0,0.38697,0.31265,0.29531,0.16831,1.37628,1.02119,0.95102,0,0.000298,0.000298,0.000298,0.000149
100,134390,1.37041,1.00341,0.97122,0,0.38472,0.31357,0.29524,0.168,1.37704,1.02142,0.95114,0,0.000199,0.000199,0.000199,9.95e-05
