DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.23.m.0,101,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.23.m.1,101,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.14.m.0,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.14.m.1,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.20.m.0,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.20.m.1,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.23.m.0,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,model.23.m.1,85,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.14.m.0,34,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.14.m.1,34,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.20.m.0,34,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.20.m.1,34,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.23.m.0,34,unknown,small,irregular,LocalConvTransformer
